VP,method,room,position,error
8,WFS8,beta080,r2,0.7253
9,WFS8,beta080,r2,2.5488
10,WFS8,beta080,r2,-2.2181
1,WFS8,beta090,r2,-12.939
2,WFS8,beta090,r2,-17.9377
3,WFS8,beta090,r2,-10.1801
4,WFS8,beta090,r2,-4.0583
5,WFS8,beta090,r2,-8.7884
6,WFS8,beta090,r2,-7.2395
7,WFS8,beta090,r2,-10.4559
8,WFS8,beta090,r2,-17.5598
9,WFS8,beta090,r2,-15.0625
10,WFS8,beta090,r2,-14.307
1,WFS8,beta090,r2,-9.6262
2,WFS8,beta090,r2,-4.7587
3,WFS8,beta090,r2,-10.1538
4,WFS8,beta090,r2,-2.1421
5,WFS8,beta090,r2,-8.2044
6,WFS8,beta090,r2,-2.1382
7,WFS8,beta090,r2,-9.5159
8,WFS8,beta090,r2,-16.863
9,WFS8,beta090,r2,-14.8831
10,WFS8,beta090,r2,-13.3446
1,WFS8,beta090,r2,-4.394
2,WFS8,beta090,r2,-4.0361
3,WFS8,beta090,r2,-7.411
4,WFS8,beta090,r2,-0.23433
5,WFS8,beta090,r2,-3.6079
6,WFS8,beta090,r2,-0.73305
7,WFS8,beta090,r2,-9.1368
8,WFS8,beta090,r2,-14.4576
9,WFS8,beta090,r2,-13.7608
10,WFS8,beta090,r2,-11.1192
1,WFS8,beta090,r2,-3.1388
2,WFS8,beta090,r2,4.2811
3,WFS8,beta090,r2,-6.6007
4,WFS8,beta090,r2,1.116
5,WFS8,beta090,r2,-3.0943
6,WFS8,beta090,r2,1.4028
