VP,method,room,position,error
5,WFS3,beta070,r2,-11.6372
6,WFS3,beta070,r2,-13.384
7,WFS3,beta070,r2,-14.2974
8,WFS3,beta070,r2,-12.9343
9,WFS3,beta070,r2,-14.4848
10,WFS3,beta070,r2,-15.0709
1,WFS3,beta070,r2,-10.5963
2,WFS3,beta070,r2,-9.0421
3,WFS3,beta070,r2,-14.4313
4,WFS3,beta070,r2,-7.8465
5,WFS3,beta070,r2,-8.845
6,WFS3,beta070,r2,-12.18
7,WFS3,beta070,r2,-12.2857
8,WFS3,beta070,r2,-12.9064
9,WFS3,beta070,r2,-12.4325
10,WFS3,beta070,r2,-14.3808
1,WFS3,beta070,r2,-8.2913
2,WFS3,beta070,r2,-7.5215
3,WFS3,beta070,r2,-11.6258
4,WFS3,beta070,r2,-6.9739
5,WFS3,beta070,r2,-8.8414
6,WFS3,beta070,r2,-8.7085
7,WFS3,beta070,r2,-12.2052
8,WFS3,beta070,r2,-7.2485
9,WFS3,beta070,r2,-11.8279
10,WFS3,beta070,r2,-11.2213
1,WFS3,beta070,r2,-7.4095
2,WFS3,beta070,r2,-6.0234
3,WFS3,beta070,r2,-10.3798
4,WFS3,beta070,r2,-5.6217
5,WFS3,beta070,r2,-4.2782
6,WFS3,beta070,r2,-6.0656
7,WFS3,beta070,r2,-12.15
8,WFS3,beta070,r2,-6.6924
9,WFS3,beta070,r2,-8.1915
10,WFS3,beta070,r2,-10.9119
1,WFS3,beta070,r2,-7.0929
2,WFS3,beta070,r2,-2.5647
3,WFS3,beta070,r2,-7.9556
4,WFS3,beta070,r2,-3.2381
5,WFS3,beta070,r2,-3.3573
6,WFS3,beta070,r2,-3.9477
7,WFS3,beta070,r2,-9.2258
8,WFS3,beta070,r2,-6.5292
9,WFS3,beta070,r2,-4.8477
10,WFS3,beta070,r2,-7.8705
1,WFS3,beta080,r2,-10.9261
2,WFS3,beta080,r2,-11.3698
3,WFS3,beta080,r2,-18.0821
4,WFS3,beta080,r2,-14.4462
5,WFS3,beta080,r2,-6.8035
6,WFS3,beta080,r2,-11.9631
7,WFS3,beta080,r2,-16.3699
8,WFS3,beta080,r2,-19.3381
9,WFS3,beta080,r2,-16.7071
10,WFS3,beta080,r2,-13.8524
1,WFS3,beta080,r2,-9.6668
2,WFS3,beta080,r2,-8.528
3,WFS3,beta080,r2,-14.2481
4,WFS3,beta080,r2,-13.8578
5,WFS3,beta080,r2,-5.7864
6,WFS3,beta080,r2,-8.2399
7,WFS3,beta080,r2,-14.0936
8,WFS3,beta080,r2,-14.1795
9,WFS3,beta080,r2,-9.8576
10,WFS3,beta080,r2,-12.0497
1,WFS3,beta080,r2,-8.8305
2,WFS3,beta080,r2,-7.8027
3,WFS3,beta080,r2,-13.9715
4,WFS3,beta080,r2,-11.5478
5,WFS3,beta080,r2,-4.4486
6,WFS3,beta080,r2,-5.4623
7,WFS3,beta080,r2,-12.6305
8,WFS3,beta080,r2,-9.2697
9,WFS3,beta080,r2,-8.7855
10,WFS3,beta080,r2,-11.0019
1,WFS3,beta080,r2,-5.7207
2,WFS3,beta080,r2,-7.0337
3,WFS3,beta080,r2,-12.5042
4,WFS3,beta080,r2,-9.9476
5,WFS3,beta080,r2,-3.4782
6,WFS3,beta080,r2,-3.4839
7,WFS3,beta080,r2,-11.0936
8,WFS3,beta080,r2,-7.3917
9,WFS3,beta080,r2,-8.3417
10,WFS3,beta080,r2,-10.3797
1,WFS3,beta080,r2,-5.2792
2,WFS3,beta080,r2,-6.7819
3,WFS3,beta080,r2,-11.1901
4,WFS3,beta080,r2,-5.9853
5,WFS3,beta080,r2,-3.0728
6,WFS3,beta080,r2,-0.92566
7,WFS3,beta080,r2,-7.3296
8,WFS3,beta080,r2,-5.9291
9,WFS3,beta080,r2,-3.3984
10,WFS3,beta080,r2,-7.86
1,WFS3,beta090,r2,-13.4875
2,WFS3,beta090,r2,-10.2307
3,WFS3,beta090,r2,-16.0491
4,WFS3,beta090,r2,-13.3973
5,WFS3,beta090,r2,-12.5428
6,WFS3,beta090,r2,-9.9113
7,WFS3,beta090,r2,-17.492
8,WFS3,beta090,r2,-10.5461
9,WFS3,beta090,r2,-20.5869
10,WFS3,beta090,r2,-13.8925
1,WFS3,beta090,r2,-12.4275
2,WFS3,beta090,r2,-9.5339
3,WFS3,beta090,r2,-11.3202
4,WFS3,beta090,r2,-11.054
5,WFS3,beta090,r2,-11.6564
6,WFS3,beta090,r2,-8.1228
7,WFS3,beta090,r2,-13.9551
8,WFS3,beta090,r2,-6.9581
9,WFS3,beta090,r2,-16.6355
10,WFS3,beta090,r2,-11.0122
1,WFS3,beta090,r2,-8.1966
2,WFS3,beta090,r2,-9.3461
3,WFS3,beta090,r2,-8.5793
4,WFS3,beta090,r2,-8.2864
5,WFS3,beta090,r2,-5.4428
6,WFS3,beta090,r2,-5.5784
7,WFS3,beta090,r2,-11.3351
8,WFS3,beta090,r2,-5.911
9,WFS3,beta090,r2,-9.9592
10,WFS3,beta090,r2,-7.9881
